,team,stadium,img,lat,long,country,state,city
0,Fluminense FC,Estádio Jornalista Mário Filho,https://tmssl.akamaized.net/images/wappen/verysmall/2462.png?lm=1648225934,-22.9121619,-43.2311861,Brazil,RJ,Rio de Janeiro
1,CR Flamengo,Estádio Jornalista Mário Filho,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,-22.9121619,-43.2311861,Brazil,RJ,Rio de Janeiro
2,São Paulo FC,Estádio Cícero Pompeu de Toledo,https://tmssl.akamaized.net/images/wappen/verysmall/585.png?lm=1409133922,-23.6000584,-46.7201583,Brazil,SP,São Paulo
3,Cruzeiro EC,Estádio Governador Magalhães Pinto,https://tmssl.akamaized.net/images/wappen/verysmall/609.png?lm=1641150262,-19.8659115,-43.9710434,Brazil,MG,Belo Horizonte
4,Grêmio FBPA,Arena do Grêmio,https://tmssl.akamaized.net/images/wappen/verysmall/210.png?lm=1412879265,-29.9740429,-51.1951073,Brazil,RS,Porto Alegre
5,Fortaleza EC,Estádio Governador Plácido Castelo,https://tmssl.akamaized.net/images/wappen/verysmall/10870.png?lm=1631541450,-3.806742,-38.5216794,Brazil,CE,Fortaleza
6,SC Internacional,Estádio Beira-Rio,https://tmssl.akamaized.net/images/wappen/verysmall/6600.png?lm=1644878605,-30.065504685798906,-51.23585549512045,Brazil,RS,Porto Alegre
7,SC Corinthians,Neo Química Arena ,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,-23.5452934,-46.4742864,Brazil,SP,São Paulo
8,EC Bahia,Arena Fonte Nova,https://tmssl.akamaized.net/images/wappen/verysmall/10010.png?lm=1412879423,-12.978865418421202,-38.50436328295125,Brazil,BA,Salvador
9,Botafogo FR,Estádio Olímpico Nilton Santos,https://tmssl.akamaized.net/images/wappen/verysmall/537.png?lm=1651494898,-22.893194,-43.2935691,Brazil,RJ,Rio de Janeiro
10,Atlético Mineiro,Arena MRV,https://tmssl.akamaized.net/images/wappen/verysmall/330.png?lm=1411033853,-19.9300116,-44.0138813,Brazil,MG,Belo Horizonte
11,SE Palmeiras,Allianz Parque,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,-23.5274971,-46.6785281,Brazil,SP,São Paulo
12,Cuiabá EC,Arena Pantanal,https://tmssl.akamaized.net/images/wappen/verysmall/28022.png?lm=1451243370,-15.6040649,-56.1222989,Brazil,MT,Cuiabá
13,Athletico Paranaense,Ligga Arena,https://tmssl.akamaized.net/images/wappen/verysmall/679.png?lm=1548711363,-25.4482902,-49.276938,Brazil,PR,Curitiba
14,Coritiba FC,Estádio Major Antônio Couto Pereira,https://tmssl.akamaized.net/images/wappen/verysmall/776.png?lm=1412879464,-25.4214376,-49.2597567,Brazil,PR,Curitiba
15,América Mineiro,Estádio Raimundo Sampaio,https://tmssl.akamaized.net/images/wappen/verysmall/2863.png?lm=1646322335,-19.9083526,-43.917778,Brazil,MG,Belo Horizonte
16,CR Vasco da Gama,Estádio São Januário,https://tmssl.akamaized.net/images/wappen/verysmall/978.png?lm=1651168164,-22.8908007,-43.2282681,Brazil,RJ,Rio de Janeiro
17,Santos FC,Estádio Urbano Caldeira,https://tmssl.akamaized.net/images/wappen/verysmall/221.png?lm=1412879099,-23.9511157,-46.3389913,Brazil,SP,Santos
18,RB Bragantino,Estádio Nabi Abi Chedid,https://tmssl.akamaized.net/images/wappen/verysmall/8793.png?lm=1577915313,-22.9653902,-46.5368855,Brazil,SP,Bragança Paulista
19,Goiás EC,Estádio de Hailé Pinheiro,https://tmssl.akamaized.net/images/wappen/verysmall/3197.png?lm=1668099048,-16.710161214144666,-49.261256018365415,Brazil,GO,Goiânia
